count_objects,count_people,display_name,id,name,type,url 
4,5,Team Member:,35236721,Team Member,production,https://collection.cooperhewitt.org/roles/35236721/
34,16,Student of,35236795,Student of,production,https://collection.cooperhewitt.org/roles/35236795/
53,25,Retailed by,35236749,Retailer,production,https://collection.cooperhewitt.org/roles/35236749/
30,22,Painted by,35236761,Painter,production,https://collection.cooperhewitt.org/roles/35236761/
3,3,Enameled by,35236769,Enameler,production,https://collection.cooperhewitt.org/roles/35236769/
1,1,Cartographer:,35236741,Cartographer,production,https://collection.cooperhewitt.org/roles/35236741/
4,4,School of,35236789,School of,production,https://collection.cooperhewitt.org/roles/35236789/
202,28,Graphic design by,35236763,Graphic Designer,production,https://collection.cooperhewitt.org/roles/35236763/
4,2,Silversmith,35236783,Silversmith,production,https://collection.cooperhewitt.org/roles/35236783/
1,1,Patron:,35236753,Patron,production,https://collection.cooperhewitt.org/roles/35236753/
1,1,Cabinet maker:,35236723,Cabinet Maker,production,https://collection.cooperhewitt.org/roles/35236723/
3034,28,Office of,35236703,Office of,production,https://collection.cooperhewitt.org/roles/35236703/
2,2,Project headed by,35236713,Project Head,production,https://collection.cooperhewitt.org/roles/35236713/
7,6,Carved by,35236779,Carver,production,https://collection.cooperhewitt.org/roles/35236779/
1,1,Wholesaler:,35236785,Wholesaler,,http://collection.cooperhewitt.org/roles/35236785/
22,13,Style of,35236707,Style of,production,https://collection.cooperhewitt.org/roles/35236707/
14,11,Association:,35236735,Association,production,https://collection.cooperhewitt.org/roles/35236735/
14,11,Engineered by,35236731,Engineer,production,https://collection.cooperhewitt.org/roles/35236731/
5,3,Institution:,35236739,Institution,production,https://collection.cooperhewitt.org/roles/35236739/
12,12,Edited by,35236725,Editor,production,https://collection.cooperhewitt.org/roles/35236725/
62,44,Decorated by,35236717,Decorator,production,https://collection.cooperhewitt.org/roles/35236717/
13,10,Studio of,35236705,Studio of,production,https://collection.cooperhewitt.org/roles/35236705/
43,12,Production directed by,35236751,Director of Production,production,https://collection.cooperhewitt.org/roles/35236751/
311,186,Attributed to,35236711,Attributed to,production,https://collection.cooperhewitt.org/roles/35236711/
51,63,Co-Designer:,35236733,Co-Designer,production,https://collection.cooperhewitt.org/roles/35236733/
474,28,Design Director:,35236799,Design Director,production,https://collection.cooperhewitt.org/roles/35236799/
66,36,Art Director:,35236787,Art Director,production,https://collection.cooperhewitt.org/roles/35236787/
109,20,Student at,35236793,Student at,production,https://collection.cooperhewitt.org/roles/35236793/
14,9,Executor:,35236757,Executor,production,https://collection.cooperhewitt.org/roles/35236757/
184,149,Engraved by,35236743,Engraver,production,https://collection.cooperhewitt.org/roles/35236743/
537,59,Woven by,35236745,Weaver,production,https://collection.cooperhewitt.org/roles/35236745/
1,2,Mount Made by,35236759,Mount Maker,production,https://collection.cooperhewitt.org/roles/35236759/
3,2,Jeweler:,35236767,Jeweler,production,https://collection.cooperhewitt.org/roles/35236767/
13,7,Agent:,35236709,Agent,production,https://collection.cooperhewitt.org/roles/35236709/
18,6,Model maker:,35236771,Model maker,production,https://collection.cooperhewitt.org/roles/35236771/
490,70,Firm:,35236797,Firm,production,https://collection.cooperhewitt.org/roles/35236797/
39,17,Modeled by,35236765,Modeler,production,https://collection.cooperhewitt.org/roles/35236765/
14,14,Workshop of,35236715,Workshop of,production,https://collection.cooperhewitt.org/roles/35236715/
10,7,Dyed by,35236747,Dyer,production,https://collection.cooperhewitt.org/roles/35236747/
17,6,Founded by,35236595,Founder,production,https://collection.cooperhewitt.org/roles/35236595/
5,4,Calligrapher:,35236569,Calligrapher,production,https://collection.cooperhewitt.org/roles/35236569/
10,7,Ceramist:,35236577,Ceramist,production,https://collection.cooperhewitt.org/roles/35236577/
8,8,Fabricated by,35236589,Fabricator,production,https://collection.cooperhewitt.org/roles/35236589/
463,419,Embroidered by,35236583,Embroiderer,production,https://collection.cooperhewitt.org/roles/35236583/
28,10,Collaborator:,35236579,Collaborator,production,https://collection.cooperhewitt.org/roles/35236579/
74,27,Etched by,35236585,Etcher,production,https://collection.cooperhewitt.org/roles/35236585/
2,1,Glass Worker:,35236599,Glass Worker,production,https://collection.cooperhewitt.org/roles/35236599/
11,4,Gilded by,35236597,Gilder,production,https://collection.cooperhewitt.org/roles/35236597/
6828,1145,,35236565,Artist,production,https://collection.cooperhewitt.org/roles/35236565/
3,3,Cartoonist:,35236573,Cartoonist,production,https://collection.cooperhewitt.org/roles/35236573/
20,6,Patented by,35236627,Patentor,production,https://collection.cooperhewitt.org/roles/35236627/
1,1,Paper Made by,35236621,Paper Maker,production,https://collection.cooperhewitt.org/roles/35236621/
41,10,Delineator:,35236695,Delineator,production,https://collection.cooperhewitt.org/roles/35236695/
602,188,Published by,35236661,Publisher,production,https://collection.cooperhewitt.org/roles/35236661/
757,99,Drafted by,35236669,Draftsman,production,https://collection.cooperhewitt.org/roles/35236669/
8,10,Sculpted by,35236641,Sculptor,production,https://collection.cooperhewitt.org/roles/35236641/
352,155,After,35236677,After,production,https://collection.cooperhewitt.org/roles/35236677/
96,83,Written by,35236689,Author,production,https://collection.cooperhewitt.org/roles/35236689/
2029,128,Architect:,35236663,Architect,production,https://collection.cooperhewitt.org/roles/35236663/
133,59,Print Maker:,35236653,Print Maker,production,https://collection.cooperhewitt.org/roles/35236653/
1132,183,Made for,35236675,For,production,https://collection.cooperhewitt.org/roles/35236675/
2,2,Interior Designer:,35236603,Interior Designer,production,https://collection.cooperhewitt.org/roles/35236603/
37,29,Sitter:,35236679,Sitter,production,https://collection.cooperhewitt.org/roles/35236679/
2826,953,Made by,35236685,Maker,production,https://collection.cooperhewitt.org/roles/35236685/
19,18,Invented by,35236607,Inventor,production,https://collection.cooperhewitt.org/roles/35236607/
9,7,Potter:,35236635,Potter,production,https://collection.cooperhewitt.org/roles/35236635/
59,47,Illustrated by,35236601,Illustrator,production,https://collection.cooperhewitt.org/roles/35236601/
17,15,Probably,35236637,Probably,production,https://collection.cooperhewitt.org/roles/35236637/
175,101,Photographed by,35236631,Photographer,production,https://collection.cooperhewitt.org/roles/35236631/
6,4,Patentee:,35236625,Patentee,production,https://collection.cooperhewitt.org/roles/35236625/
